"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"24343","\N","000000024343","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25642","\N","000000025642","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25313","\N","000000025313","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25314","\N","000000025314","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25643","\N","000000025643","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25644","\N","000000025644","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25645","\N","000000025645","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25646","\N","000000025646","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27475","\N","000000027475","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27476","\N","000000027476","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24984","\N","000000024984","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22456","5734","000000022456","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"27477","\N","000000027477","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25658","4693","000000025658","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"2966","5457","000000002966","\N","10","23","8","2628","","2029-12-31 00:00:00","\N","\N","132","2009"
"25647","\N","000000025647","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"10404","5457","000000010404","\N","10","23","8","2803","","2031-12-31 00:00:00","\N","\N","132","2011"
"25648","\N","000000025648","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25315","\N","000000025315","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20618","5580","000000020618","\N","10","23","4","3817","","2026-12-31 00:00:00","\N","\N","132","2006"
"22539","5796","000000022539","\N","10","23","4","3766","","2034-12-31 00:00:00","\N","\N","160","2014"
"20619","5528","000000020619","\N","10","23","4","3817","","2026-12-31 00:00:00","\N","\N","132","2006"
"25649","\N","000000025649","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25650","\N","000000025650","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21185","5469","000000021185","\N","10","23","4","3715","","2029-12-31 00:00:00","\N","\N","155","2009"
